  dataset        a v_congruent t0_congruent v_incongruent t0_incongruent  penalty      fit     time   method
 flanker_std_DDM_subject10   1.1476   5.0002   0.3536   4.1245   0.3927   0.0000 -87.2530   0.0050       ML
 flanker_std_DDM_subject100   2.1851   6.2775   0.3810   3.0361   0.3567   0.0000 -56.9419   0.0040       ML
 flanker_std_DDM_subject101   2.1348   3.7810   0.4293   2.3467   0.3634   0.0000 -23.3951   0.0040       ML
 flanker_std_DDM_subject102   1.5579   4.7857   0.3446   2.6341   0.3196   0.0000 -51.1654   0.0050       ML
 flanker_std_DDM_subject103  10.0000  15.3176   0.1442  10.9303   0.1028   0.0000 -104.3925   0.0070       ML
 flanker_std_DDM_subject104   1.3259   6.1521   0.3107   3.2219   0.2875   0.0000 -79.6436   0.0050       ML
 flanker_std_DDM_subject105   1.6288   6.1356   0.3072   4.1407   0.3556   0.0000 -81.0580   0.0050       ML
 flanker_std_DDM_subject106   1.2192   6.4268   0.3187   2.7185   0.3043   0.0000 -79.1287   0.0060       ML
 flanker_std_DDM_subject108   2.7511   5.4716   0.3242   5.5314   0.3707   0.0000 -68.5966   0.0060       ML
 flanker_std_DDM_subject109   2.5577   6.2382   0.3899   6.7877   0.4310   0.0000 -85.2713   0.0050       ML
 flanker_std_DDM_subject110   1.9742   6.0577   0.2880   6.2745   0.3827   0.0000 -91.5122   0.0050       ML
 flanker_std_DDM_subject111   3.9469   9.6957   0.3039   8.3935   0.3480   0.0000 -101.2026   0.0050       ML
 flanker_std_DDM_subject112   1.4827   3.7071   0.3135   1.5619   0.2685   0.0000 -25.5627   0.0040       ML
 flanker_std_DDM_subject113   2.5717   4.3155   0.2638   4.5473   0.3642   0.0000 -51.7637   0.0050       ML
 flanker_std_DDM_subject114   1.0499   4.8861   0.3364   3.8186   0.3981   0.0000 -85.5542   0.0050       ML
 flanker_std_DDM_subject115   1.9667   6.2556   0.3495   2.5093   0.4043   0.0000 -53.1759   0.0050       ML
 flanker_std_DDM_subject117   1.2763   3.4909   0.3181   1.9695   0.3441   0.0000 -37.2808   0.0030       ML
 flanker_std_DDM_subject118   2.0877   5.0361   0.3725   4.7454   0.4615   0.0000 -68.6139   0.0050       ML
 flanker_std_DDM_subject119   1.9038   3.4152   0.4235   3.1050   0.5039   0.0000 -36.7169   0.0050       ML
 flanker_std_DDM_subject12   1.6510   4.1445   0.3019   4.9740   0.3843   0.0000 -71.1766   0.0040       ML
 flanker_std_DDM_subject120   8.9873   8.6052   0.0000   9.4555   0.1093   0.0000 -73.4684   0.0050       ML
