id,correct,rt
2,1,0.5587999999821186
2,1,0.5023000000119209
2,1,0.46990000000596044
2,1,0.4808999999761581
2,1,0.5565999999940395
2,1,0.5080999999940395
2,1,0.5295
2,1,0.47540000000596044
2,1,0.536699999988079
2,1,0.5154000000059604
2,0,0.5837999999821186
2,1,0.539800000011921
2,0,0.7545
2,0,0.7645
2,1,0.6933999999761581
2,1,0.4783999999761581
2,1,0.5774000000059605
2,1,0.4213000000119209
2,1,0.46089999997615816
2,1,0.785
2,1,0.5262999999821186
2,0,0.55229999998211865
2,1,0.5571999999880791
2,1,0.7323999999761581
2,1,0.680800000011921
2,0,0.580199999988079
2,1,0.6283999999761581
2,0,0.816
2,0,0.6497999999821186
2,1,0.38880000001192094
2,1,0.835300000011921
2,0,0.56
2,1,0.5357999999821186
2,1,0.5989000000059604
2,0,0.5708000000119209
2,1,0.5259000000059605
2,1,0.601300000011921
2,1,0.5150999999940395
2,1,0.731199999988079
2,1,0.743
2,1,0.6581000000238418
2,0,0.7216999999880791
2,0,0.6187999999821187
2,1,0.6263000000119209
2,1,1.045
2,0,0.7545999999940395
2,1,0.7295999999940396
2,1,0.4953000000119209
2,1,0.5203000000119209
2,1,0.6460999999940396
3,1,0.495
3,1,0.632
3,1,0.652
3,0,1.047
3,1,1.103
3,0,0.765
3,1,0.887
3,1,0.708
3,1,0.874
3,1,0.719
3,1,1.479
3,1,0.941
3,0,0.776
3,0,0.735
3,1,0.526
3,0,0.764
3,1,0.931
3,1,0.943
3,0,0.966
3,1,0.838
3,1,0.802
3,0,0.959
3,0,2.651
3,1,0.992
3,1,3.118
3,1,1.243
3,1,0.719
3,1,0.984
3,1,1.226
3,1,0.759
3,1,0.814
3,1,0.65
3,1,0.708
3,0,0.721
3,1,0.65
3,1,0.655
3,1,0.828
3,1,1.08
3,1,1.213
3,1,1.356
3,1,0.948
3,1,0.8
3,1,0.682
3,0,0.573
3,1,0.955
3,0,0.902
3,0,1.503
3,1,1.226
3,1,0.68
3,1,1.845
4,1,1.0323999999761582
4,1,0.7933000000715256
4,1,0.8416999999284744
4,1,0.872
4,1,0.5875
4,1,0.8432000000476837
4,1,1.0101999999284745
4,1,0.5708999999761581
4,1,0.8572000000476837
4,1,0.8092000000476837
4,1,0.8025
4,1,0.755
4,1,0.8435999999046325
4,1,1.5137000000476837
4,0,0.8736000000238419
4,1,1.0815
4,0,1.0323999999761582
4,1,1.131
4,1,0.5213999999761582
4,1,0.7281999999284744
4,1,0.7300999999046326
4,0,0.643
4,0,0.9208999999761581
4,0,0.6588000000715256
4,0,0.6814000000953674
4,1,5.8315
4,1,1.018899999976158
4,1,0.8177999999523163
4,1,0.9372000000476837
4,0,0.8502000000476837
4,1,0.8113000000715256
4,1,0.7705
4,1,0.9301000000238419
4,1,0.7462000000476837
4,1,1.105899999976158
4,0,1.009399999976158
4,1,0.7948999999761581
4,1,0.963
4,0,1.0406000000238418
4,1,0.9133999999761582
4,1,0.7544000000953675
4,1,0.9936999999284745
4,0,0.9848000000715256
4,1,1.3312000000476838
4,1,0.7694000000953675
4,1,0.7796000000238419
4,1,0.9596999999284744
4,1,0.9952999999523163
4,0,0.5775
4,1,0.7864000000953675
